Id,Model,Price,Age,Mfg_Month,Millage,HP,Automatic,CC,Doors,Cylinders,Gears,QuartTax,Weight
213,HONDA Civic 2.0 D4D LIFTB SOL 4/5-Doors,14750,40,5,80425,90,0,2000,5,4,5,210,1205
214,HONDA Civic 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,11790,34,11,78677,110,1,1600,5,4,5,85,1105
215,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11450,40,5,78425,110,0,1600,5,4,5,85,1075
216,HONDA Civic 2.0 D4D HATCHB SOL 2/3-Doors,13500,33,12,78108,90,0,2000,3,4,5,210,1170
217,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10950,33,12,77321,110,0,1600,5,4,5,85,1075
218,HONDA Civic 1.9 D HATCHB TERRA 2/3-Doors,13500,33,12,75699,69,0,1900,3,4,5,185,1105
219,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,41,4,75697,97,0,1400,3,4,5,69,1025
220,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,44,1,74846,97,0,1400,3,4,5,69,1025
221,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,38,7,74319,110,0,1600,5,4,5,85,1075
222,HONDA Civic 1.6 Terra LB 4/5-Doors,11950,43,2,74285,110,0,1600,5,4,5,85,1075
223,HONDA Civic 1.6 HB LINEA SOL 4/5-Doors,12450,44,1,74172,110,0,1600,5,4,5,163,1615
224,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,40,5,73042,110,0,1598,5,4,5,85,1075
225,HONDA Civic 1.6 16V VVT I SEDAN TERRA 4/5-Doors,14950,44,1,71793,110,0,1600,4,4,5,197,1067
226,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12450,35,10,71200,110,0,1600,5,4,5,85,1075
227,HONDA Civic 1.6 16V VVT I WAGON BLUE Stationwagen,12950,38,7,67805,110,0,1600,5,4,5,85,1075
228,HONDA Civic 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11950,35,10,65988,110,0,1600,3,4,5,69,1040
229,HONDA Civic 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11690,34,11,65345,97,0,1400,5,4,5,85,1060
230,HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,12450,42,3,64564,110,0,1600,5,4,5,85,1080
231,HONDA Civic 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12750,36,9,63459,97,0,1400,5,4,5,85,1060
232,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11925,44,1,63451,97,0,1400,3,4,5,69,1025
233,HONDA Civic LIFTBACK 1.6-16v Linea Luna 4/5-Doors,12950,33,12,62000,110,0,1600,5,4,5,19,1075
234,HONDA Civic 1.4 16V VVT I HATCHB SOL 2/3-Doors,11950,42,3,61300,97,0,1400,3,4,5,69,1030
235,HONDA Civic 1.6 16V VVT I HATCHB SOL 2/3-Doors,12900,41,4,61200,110,0,1600,3,4,5,69,1045
236,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11900,41,4,61000,110,0,1600,5,4,5,85,1075
237,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11650,38,7,60829,110,0,1600,5,4,5,85,1075
238,HONDA Civic 1.6 VVTI Linea Terra liftback 4/5-Doors,10950,44,1,60500,110,0,1600,5,4,5,85,1075
239,HONDA Civic 1.9 D HB SOL 2/3-Doors,13950,35,10,59500,69,0,1900,3,4,5,64,1110
240,HONDA Civic 1.6 16V VVT I LIFTB SOL AUT4 4/5-Doors,13950,44,1,59000,110,1,1600,5,4,5,85,1110
241,HONDA Civic 1.6 VVT-i Linea Sol 4/5-Doors,11950,40,5,58954,110,0,1600,5,4,5,85,1080
242,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10950,38,7,58798,110,0,1600,5,4,5,85,1075
243,HONDA Civic 1.6 16V VVT I HATCHB G6 2/3-Doors,12450,38,7,58363,110,0,1600,3,4,5,85,1055
244,HONDA Civic 1.6 16V VVT I HATCHB SOL 2/3-Doors,11950,43,2,58277,110,0,1600,3,4,5,69,1045
245,HONDA Civic 2.0 D4D HATCHB TERRA 2/3-Doors,13500,33,12,57711,90,0,2000,3,4,5,210,1165
246,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11690,33,12,57269,110,0,1600,5,4,5,85,1075
247,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13500,39,6,56001,110,0,1600,5,4,5,85,1075
248,HONDA Civic 1.6 16V HATCHB LINEA TERRA 2/3-Doors,11950,42,3,55968,110,0,1600,3,4,5,69,1050
249,HONDA Civic 1.6 16V VVT I SEDAN TERRA 4/5-Doors,12900,39,6,55678,110,0,1600,4,4,5,69,1030
250,HONDA Civic 1.6 16V WAGON LINEA TERRA Stationwagen,13500,43,2,55539,110,0,1600,5,4,5,85,1085
251,HONDA Civic 1.6 GL LB 4/5-Doors,11750,42,3,55400,110,0,1600,5,4,5,85,1075
252,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,33,12,55350,110,0,1600,5,4,5,85,1075
253,HONDA Civic 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10850,43,2,54600,110,0,1600,4,4,5,69,1030
254,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,43,2,53773,110,0,1600,5,4,5,85,1075
255,HONDA Civic 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,14950,42,3,53719,110,1,1600,5,4,5,85,1105
256,HONDA Civic 1.6 Terra 5-Doors Liftback 4/5-Doors,9940,39,6,53644,110,0,1600,5,4,5,19,1075
257,HONDA Civic 1.6-16v Linea Terra LB 4/5-Doors,12900,42,3,53350,110,0,1600,5,4,5,85,1075
258,HONDA Civic 1.6I Luna liftback 4/5-Doors,13500,38,7,53000,110,0,1600,5,4,5,85,1075
259,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11750,44,1,52084,97,0,1400,3,4,5,69,1025
260,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,44,1,52000,97,0,1400,3,4,5,69,1025
261,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13450,33,12,51945,110,0,1600,5,4,5,85,1075
262,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,4,51732,97,0,1400,3,4,5,69,1025
263,HONDA Civic 1.6 16V VVT I WAGON TERRA Stationwagen,12495,39,6,50873,110,0,1600,5,4,5,85,1075
264,HONDA Civic 1.6 Linea Terra Sedan 4/5-Doors,13500,41,4,50856,110,0,1600,4,4,5,69,1030
265,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12750,40,5,50640,110,0,1600,5,4,5,85,1075
266,HONDA Civic 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12000,39,6,50000,97,0,1400,5,4,5,85,1060
267,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,38,7,49500,110,0,1600,5,4,5,85,1075
268,HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,12495,44,1,49332,110,0,1600,5,4,5,85,1080
269,HONDA Civic 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12450,34,11,49291,110,0,1600,3,4,5,69,1040
270,HONDA Civic 2.0 D4D LIFTB SOL 4/5-Doors,14750,40,5,48952,90,0,2000,5,4,5,210,1205
271,HONDA Civic 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,39,6,48945,110,0,1600,3,4,5,69,1040
272,HONDA Civic 1.9 D HATCHB TERRA 2/3-Doors,13500,33,12,48928,69,0,1900,3,4,5,185,1105
273,HONDA Civic 1.6 16V VVT I WAGON TERRA Stationwagen,12950,38,7,48197,110,0,1600,5,4,5,85,1075
274,HONDA Civic 1.9 D HATCHB TERRA 2/3-Doors,13500,35,10,48052,69,0,1900,3,4,5,185,1105
275,HONDA Civic 1.6 16V VVT I SEDAN TERRA 4/5-Doors,13450,34,11,48011,110,0,1600,4,4,5,69,1030
276,HONDA Civic 1.6 Terra LB 4/5-Doors,13500,43,2,48000,110,0,1600,5,4,5,85,1075
277,HONDA Civic 1.6 16V VVT I WAGON TERRA Stationwagen,11480,41,4,47350,110,0,1600,5,4,5,85,1075
278,HONDA Civic 1.4 16V VVT I LIFTB LUNA 4/5-Doors,13450,39,6,46821,97,0,1400,5,4,5,85,1060
279,HONDA Civic 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11495,39,6,46694,110,0,1600,3,4,5,69,1040
280,HONDA Civic 1.4 VVTI L.Terra HB 4/5-Doors,12750,43,2,46515,97,0,1400,5,4,5,69,1025
281,HONDA Civic 1.6 16V VVT I HATCHB G6 2/3-Doors,14990,38,7,46327,110,0,1600,3,4,5,85,1055
282,HONDA Civic 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12950,35,10,46304,97,0,1400,5,4,5,85,1060
283,HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,5,45886,110,0,1600,5,4,5,85,1080
284,HONDA Civic 1.4 LB LINEA TERRA 4/5-Doors,12850,39,6,45713,97,0,1400,5,4,5,19,1085
285,HONDA Civic 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,13950,40,5,45600,110,1,1600,5,4,5,85,1105
286,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,41,4,45287,110,0,1600,5,4,5,85,1075
287,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,39,6,45081,110,0,1600,5,4,5,85,1075
288,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11700,40,5,44830,110,0,1600,5,4,5,85,1075
289,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,37,8,44757,97,0,1400,3,4,5,69,1025
290,HONDA Civic 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,44,1,44218,97,0,1400,5,4,5,85,1060
291,HONDA Civic 1.6 16V VVT I WAGON BLUE Stationwagen,12950,43,2,43632,110,0,1600,5,4,5,85,1075
292,HONDA Civic 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12500,36,9,43427,110,0,1600,3,4,5,69,1040
293,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13875,39,6,43254,110,0,1600,5,4,5,85,1075
294,HONDA Civic 1.6 16V HATCHB LINEA TERRA 2/3-Doors,10500,35,10,43000,110,0,1600,3,4,5,69,1050
295,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12295,33,12,42823,110,0,1600,5,4,5,85,1075
296,HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,13950,42,3,42560,110,0,1600,5,4,5,85,1080
297,HONDA Civic 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,38,7,41754,110,0,1600,3,4,5,69,1040
298,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12950,44,1,41499,110,0,1600,5,4,5,197,1103
299,HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,12850,40,5,41339,110,0,1600,5,4,5,85,1080
300,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13995,35,10,41000,110,0,1600,5,4,5,85,1075
301,HONDA Civic 1.6 16V VVT I HATCHB G6 2/3-Doors,13750,39,6,40000,110,0,1600,3,4,5,85,1055
302,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12750,37,8,39757,110,0,1600,5,4,5,85,1075
303,HONDA Civic 1.6 16V VVT I HATCHB SOL 2/3-Doors,12500,41,4,39659,110,0,1600,3,4,5,69,1045
304,HONDA Civic 1.6 16V VVT I HATCHB G6 2/3-Doors,13950,43,2,39650,110,0,1600,3,4,5,85,1055
305,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11500,39,6,39524,97,0,1398,3,4,5,69,1025
306,HONDA Civic 1.4 16V VVT I LIFTB TERRA 4/5-Doors,13950,44,1,39516,97,0,1400,5,4,5,85,1060
307,HONDA Civic 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,41,4,39439,97,0,1400,5,4,5,85,1060
308,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,44,1,39000,97,0,1400,3,4,5,69,1025
309,HONDA Civic 1.6 16v VVTi Terra Comfort 2/3-Doors,13500,42,3,38932,110,0,1600,3,4,5,69,1040
310,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11450,37,8,38812,97,0,1400,3,4,5,69,1025
311,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12450,42,3,38665,110,0,1600,5,4,5,85,1075
312,HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,5,38653,110,0,1600,5,4,5,85,1080
313,HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,13995,44,1,38461,110,0,1600,5,4,5,85,1080
314,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11750,42,3,38078,97,0,1400,3,4,5,69,1025
315,HONDA Civic 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11650,39,6,37782,97,0,1400,5,4,5,85,1060
316,HONDA Civic 1.4 16V VVT I HATCHB SOL 2/3-Doors,9950,43,2,37576,97,0,1400,3,4,5,69,1030
317,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13950,41,4,37533,110,0,1600,5,4,5,85,1075
318,HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,44,1,37389,110,0,1600,5,4,5,85,1080
319,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,38,7,37320,97,0,1400,3,4,5,69,1025
320,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9900,42,3,37000,97,0,1400,3,4,5,69,1025
321,HONDA Civic 1.6 SDN LINEA TERRA 4/5-Doors,11950,44,1,37000,110,0,1600,4,4,5,19,1075
322,HONDA Civic 1.6 16V VVT I HATCHB G6 4/5-Doors,11990,40,5,36566,110,0,1600,5,4,5,85,1090
323,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10750,36,9,36269,110,0,1600,5,4,5,85,1075
324,HONDA Civic 1.6 VVTi Linea terra 4/5-Doors,13950,37,8,36074,110,1,1600,5,4,5,19,1075
325,HONDA Civic 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11250,44,1,36066,110,0,1600,3,4,5,69,1040
326,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,39,6,34599,110,0,1600,5,4,5,85,1075
327,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,41,4,34000,110,0,1600,5,4,5,85,1075
328,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,42,3,33623,97,0,1400,3,4,5,69,1025
329,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,33,12,33591,110,0,1600,5,4,5,85,1075
330,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,35,10,33258,110,0,1600,5,4,5,85,1075
331,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11695,43,2,33113,110,0,1600,5,4,5,85,1075
332,HONDA Civic 1.6v VVT-i Linea Sol 4/5-Doors,11000,41,4,33000,110,1,1600,5,4,6,19,1075
333, HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,13950,35,10,32941,110,0,1600,5,4,5,85,1080
334,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,38,7,32781,110,0,1600,5,4,5,85,1075
335,HONDA Civic 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11750,40,5,32532,110,0,1600,3,4,5,69,1040
336,HONDA Civic 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12400,34,11,32431,97,0,1400,5,4,5,85,1060
337,HONDA Civic 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12500,35,10,32000,110,0,1600,3,4,5,69,1040
339,HONDA Civic 1.6I LIFTBACK 4/5-Doors,12900,33,12,31000,110,0,1600,5,4,5,19,1075
340,HONDA Civic 1.6 16V VVT I HATCHB SOL 2/3-Doors,12200,41,4,30989,110,0,1600,3,4,5,69,1045
341,HONDA Civic 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12750,43,2,30742,110,0,1600,3,4,5,69,1040
342,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,42,3,30190,110,0,1600,5,4,5,85,1075
343,HONDA Civic Liftback 1.6 VVTI 4/5-Doors,11900,41,4,29716,116,0,1600,5,4,5,85,1075
344,HONDA Civic 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11950,44,1,29716,110,1,1600,3,4,5,85,1070
345,HONDA Civic 1.6 16V VVT I HATCHB G6 2/3-Doors,14950,42,3,29640,110,0,1600,3,4,5,85,1055
346, HONDA Civic 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11950,41,4,29056,97,0,1400,5,4,5,85,1060
347,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12950,33,12,28715,110,0,1600,5,4,5,85,1075
348, HONDA Civic 1.6 16V VVT I HATCHB G6 4/5-Doors,14950,41,4,28571,110,0,1600,5,4,5,85,1090
349,HONDA Civic 1.6 16V VVT I HATCHB TERRA 2/3-Doors,13450,40,5,28362,110,0,1600,3,4,5,69,1040
350,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13750,38,7,28150,110,0,1600,5,4,5,85,1075
351,HONDA Civic 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12950,43,2,27301,110,0,1600,3,4,5,69,1040
352, HONDA Civic 1.6 Terra LB Comf. 4/5-Doors,12750,33,12,27240,110,0,1600,5,4,5,85,1075
353,HONDA Civic 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,39,6,27170,97,0,1400,5,4,5,85,1060
354, HONDA Civic 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9950,42,3,27141,97,0,1400,5,4,5,85,1060
355,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12450,38,7,26262,110,0,1600,5,4,5,85,1075
356,HONDA Civic 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12500,38,7,26000,97,0,1400,5,4,5,85,1060
357,HONDA Civic 1.6 16V VVT I HATCHB SOL 2/3-Doors,14950,43,2,25228,110,0,1600,3,4,5,69,1045
358, HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,13750,39,6,25062,110,0,1600,5,4,5,85,1080
359,HONDA Civic 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,12695,39,6,24723,110,1,1600,4,4,5,85,1060
360,HONDA Civic 1.6 16V VVT I HATCHB G6 2/3-Doors,14990,33,12,24650,110,0,1600,3,4,5,85,1055
361, HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,12750,43,2,24553,110,0,1600,5,4,5,85,1080
362, HONDA Civic 1.6 VVTi Terra Comfort 4/5-Doors,14350,41,4,24475,110,0,1600,5,4,5,69,1030
363,HONDA Civic 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12950,39,6,24444,110,0,1600,3,4,5,69,1040
364,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11500,35,10,24011,97,0,1400,3,4,5,69,1025
365,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,4,24000,97,0,1400,3,4,5,69,1025
366,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13450,40,5,23616,110,0,1600,5,4,5,85,1075
367,HONDA Civic 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12900,38,7,22865,110,0,1600,5,4,5,85,1075
368,HONDA Civic 1.3 16V LIFTB LINEA TERRA 4/5-Doors,10500,41,4,22780,86,0,1300,5,4,5,69,1035
369,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,35,10,21904,97,0,1400,3,4,5,69,1025
370,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,4,21651,97,0,1400,3,4,5,69,1025
371,HONDA Civic 1.6 VVTI Linea Terra Comfort 4/5-Doors,11450,37,8,21500,110,0,1600,5,4,5,69,1030
372, HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,13250,44,1,21027,110,0,1600,5,4,5,85,1080
373,HONDA Civic 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10250,39,6,18500,110,0,1600,4,4,5,69,1030
374,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,13995,35,10,18000,110,0,1600,5,4,5,85,1075
375,HONDA Civic 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11950,40,5,17051,97,0,1400,5,4,5,85,1060
376,HONDA Civic 1.4 LB LINEA TERRA 4/5-Doors,13250,33,12,16512,97,0,1400,5,4,5,19,1085
377,HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,5,16325,110,0,1600,5,4,5,85,1080
378,HONDA Civic 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11750,38,7,16000,97,0,1400,5,4,5,85,1060
379,HONDA Civic 1.6 Linea Terra LB 4/5-Doors,11500,39,6,12000,110,0,1600,5,4,5,85,1075
380,HONDA Civic 1.4 VVTI LB 4/5-Doors,13500,43,2,10000,97,0,1400,5,4,5,85,1060
381, HONDA Civic 1.9 D HATCHB SOL 2/3-Doors,6500,53,4,216000,69,0,1900,3,4,5,185,1110
382,HONDA Civic 1.9 D SEDAN TERRA 4/5-Doors,6400,51,6,198167,69,0,1900,4,4,5,185,1095
383,HONDA Civic 1.9 D HATCHB TERRA 2/3-Doors,7000,53,4,176000,69,0,1900,3,4,5,185,1105
384,HONDA Civic 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,7750,54,3,174139,72,0,2000,4,4,5,185,1100
385,HONDA Civic 1.9 D Sedan 4/5-Doors,8900,45,12,174000,69,0,1900,5,4,5,185,1095
386,HONDA Civic 1.6 VVTi Linea terra 2/3-Doors,8500,55,2,150000,110,0,1600,3,4,5,72,1075
387,HONDA Civic 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,8950,54,3,149329,72,0,2000,5,4,5,185,1135
388,HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,9900,51,6,146736,110,0,1600,5,4,5,85,1080
389,HONDA Civic 1.9 D LIFTB LUNA 4/5-Doors,10250,53,4,143513,69,0,1900,5,4,5,185,1140
390,HONDA Civic 1.6 16V VVT I LIFTB TERRA 4/5-Doors,9250,48,9,142130,110,0,1600,5,4,5,197,1119
391,HONDA Civic 1.9 D WGN LINEA TERRA Stationwagen,7750,48,9,140700,69,0,1900,5,4,5,64,1110
392, HONDA Civic 1.9 D SEDAN TERRA 4/5-Doors,9450,54,3,138394,69,0,1900,4,4,5,185,1095
393,HONDA Civic 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,7750,55,2,137000,72,0,2000,5,4,5,185,1135
394,HONDA Civic 1.9 D WAGON TERRA Stationwagen,8250,52,5,135258,69,0,1900,5,4,5,185,1140
395,HONDA Civic 1.6 16V VVT I WAGON TERRA Stationwagen,9950,49,8,131364,110,0,1600,5,4,5,85,1075
396,HONDA Civic 1.8D Stationwagen,4450,56,1,129155,69,0,1800,5,4,5,64,1110
397, HONDA Civic 1.6 16V VVT I HATCHB G6 2/3-Doors,9950,50,7,126110,110,0,1600,3,4,5,85,1055
398,HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,9000,48,9,119742,110,0,1600,5,4,5,85,1080
399,HONDA Civic 1.9 D LB LINEA SOL 4/5-Doors,9950,53,4,117913,69,0,1900,5,4,5,64,1110
400,HONDA Civic 2.0 D4D HATCHB TERRA 2/3-Doors,12450,47,10,117430,90,0,2000,3,4,5,210,1165
401,HONDA Civic 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10500,55,2,117175,110,0,1600,4,4,5,69,1035
402,HONDA Civic 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10750,54,3,115558,110,0,1600,4,4,5,69,1035
403,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,4,115113,97,0,1400,3,4,5,69,1025
404,HONDA Civic 1.9 D LIFTB TERRA 4/5-Doors,10500,54,3,115046,69,0,1900,5,4,5,185,1140
405,HONDA Civic 2.0D 4/5-Doors,5150,56,1,113997,72,0,2000,5,4,5,64,1135
406,HONDA Civic 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,49,8,107859,97,0,1400,5,4,5,85,1060
407,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9450,52,5,104805,97,0,1400,3,4,5,69,1025
408,HONDA Civic 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9950,54,3,103454,110,0,1600,5,4,5,85,1075
409,HONDA Civic 1.9 D WAGON TERRA Stationwagen,10950,51,6,103018,69,0,1900,5,4,5,185,1140
410,HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,11900,47,10,102352,110,0,1600,5,4,5,85,1080
411,HONDA Civic 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9950,50,7,102030,97,0,1400,5,4,5,85,1060
412,HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,54,3,101352,110,0,1600,5,4,5,85,1080
413,HONDA Civic 1.6 16v TERRA 4/5-Doors,7900,50,7,99865,110,0,1600,4,4,5,69,1035
414, HONDA Civic 1.6 16V VVT I HATCHB G6 2/3-Doors,10950,52,5,99323,110,0,1600,3,4,5,85,1055
415,HONDA Civic 1.9 D LIFTB TERRA 4/5-Doors,8950,48,9,98100,69,0,1900,5,4,5,185,1140
416, HONDA Civic 1.6 16V VVT I WAGON TERRA Stationwagen,11950,51,6,98040,110,0,1600,5,4,5,85,1080
417,HONDA Civic 1.6 HB SOL 2/3-Doors,10900,49,8,97600,110,0,1600,3,4,5,69,1045
418, HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,9950,55,2,97234,110,0,1600,5,4,5,85,1080
419, HONDA Civic 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,9950,51,6,96135,72,0,2000,3,4,5,185,1115
420,HONDA Civic 1.6 16V VVT I LIFTB SOL 4/5-Doors,10950,54,3,96100,110,0,1600,5,4,5,85,1080
421, HONDA Civic 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,8950,55,2,94401,72,0,2000,3,4,5,185,1115
422, HONDA Civic 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8950,55,2,94122,86,0,1300,3,4,5,69,1015
423,HONDA Civic 1.6 16V VVT I HATCHB G6 2/3-Doors,10500,49,8,91340,110,0,1600,3,4,5,85,1055
424,HONDA Civic 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,4,90200,97,0,1400,3,4,5,69,1025
425,HONDA Civic 1.9 D LIFTB TERRA 4/5-Doors,9250,53,4,90097,69,0,1900,5,4,5,185,1140
426, HONDA Civic LIFTBACK 1.4 VVT-i LINEA TERRA 4/5-Doors,11500,48,9,89049,97,0,1400,5,4,5,85,1060
427, HONDA Civic 1.6 16V VVT I WAGON TERRA Stationwagen,9750,52,5,89000,110,0,1600,5,4,5,85,1075
428, HONDA Civic 1.6 16V VVT I HATCHB TERRA 2/3-Doors,9950,45,12,87274,110,0,1600,3,4,5,69,1040
429, HONDA Civic 1.6 16V VVT I HATCHB SOL 2/3-Doors,11450,49,8,86221,110,0,1600,3,4,5,69,1045
